1001,Aarav,78,82,91,85,88,90,87,84,79,92
1001,Diya,90,91,89,93,94,88,92,90,87,91
10A3,Kabir,85,88,90,86,87,89,84,83,82,81
1004,Isha,70,75,72,74,73,71,76,78,79,80
1005,Meera,88,92,95,91,89,94,93,90,87
1006,Arjun,95,98,102,97,96,94,93,99,92,91
1007,Riya,85,84,83,82,81,80,79,78,77,76
1008,Dev,-5,88,90,85,87,89,91,92,93,94
1009,Anaya,91,92,93,94,95,96,97,98,99,100
1010,Kunal,88,87,86,85,84,83,82,81,80,79
1011,Sara,92,90,89,91,93,94,95,96,97,98
1012,Vihaan,75,78,80,82,84,86,88,90,92,94
1013,Reyansh,85,87,89,91,93,95,97,99,101,88
1014,Tara,68,70,72,74,76,78,80,82,84,86
1015,Yash,90,85,abc,88,87,86,89,90,91,92
1016,Anvi,88,89,90,91,92,93,94,95,96,97
1017,Aditya,92,91,90,89,88,87,86,85,84,83
1018,Myra,85,88,91,94,97,100,99,98,96,95
1019,Ayaan,70,72,74,76,78,80,82,84,86,88
1020,Siya,95,94,93,92,91,90,89,88,87,86
